City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
161,Santa Fe,AR,2019-11-12 03:29:02,-31.62,-60.7,73.99,70,57,3.0,broken clouds,0.0,0.0
162,Mahajanga,MG,2019-11-12 03:29:02,-15.72,46.32,80.6,88,20,2.24,few clouds,0.0,0.0
163,Yumen,CN,2019-11-12 03:29:02,40.29,97.04,33.06,58,100,24.9,overcast clouds,0.0,0.0
164,Parana,BR,2019-11-12 03:29:03,-7.52,-72.89,71.13,96,55,2.1,broken clouds,0.0,0.0
165,Takoradi,GH,2019-11-12 03:29:03,4.89,-1.75,79.83,84,48,8.03,scattered clouds,0.0,0.0
166,Kovdor,RU,2019-11-12 03:29:03,67.56,30.47,17.26,94,100,8.72,light snow,0.0,0.69
167,Yomou,GN,2019-11-12 03:29:03,7.57,-9.26,70.99,99,38,0.63,scattered clouds,0.0,0.0
168,San Quintin,PH,2019-11-12 03:29:03,17.54,120.52,83.5,64,67,4.07,broken clouds,0.0,0.0
169,Dikson,RU,2019-11-12 03:29:03,73.51,80.55,3.63,92,56,5.79,broken clouds,0.0,0.0
170,Faanui,PF,2019-11-12 03:29:04,-16.48,-151.75,78.78,80,1,16.82,light rain,0.5,0.0
171,Praia,BR,2019-11-12 03:29:04,-20.25,-43.81,75.2,60,83,12.75,light rain,0.38,0.0
172,Carnduff,CA,2019-11-12 03:29:04,49.17,-101.8,-1.0,84,0,3.0,clear sky,0.0,0.0
173,Jackson,US,2019-11-12 03:29:04,43.48,-110.76,28.4,50,1,3.36,clear sky,0.0,0.0
174,Dali,CN,2019-11-12 03:29:04,34.79,109.94,63.28,26,3,2.64,clear sky,0.0,0.0
175,Kununurra,AU,2019-11-12 03:29:05,-15.77,128.74,102.2,17,12,8.05,few clouds,0.0,0.0
176,Bohicon,BJ,2019-11-12 03:29:05,7.18,2.07,74.39,97,51,3.83,broken clouds,0.0,0.0
177,Srednekolymsk,RU,2019-11-12 03:29:05,67.46,153.71,-0.24,90,84,6.17,broken clouds,0.0,0.0
178,Zaysan,KZ,2019-11-12 03:29:05,47.47,84.87,17.28,59,58,3.02,broken clouds,0.0,0.0
179,Husavik,CA,2019-11-12 03:29:05,50.56,-96.99,3.0,84,0,4.0,clear sky,0.0,0.0
180,Sisimiut,GL,2019-11-12 03:29:05,66.94,-53.67,25.92,65,89,2.28,overcast clouds,0.0,0.0
181,Okmulgee,US,2019-11-12 03:29:06,35.62,-95.96,25.0,53,1,10.29,clear sky,0.0,0.0
182,Luderitz,NA,2019-11-12 03:29:06,-26.65,15.16,60.8,82,0,8.05,clear sky,0.0,0.0
183,Xuddur,SO,2019-11-12 03:29:06,4.12,43.89,69.4,92,40,7.7,scattered clouds,0.0,0.0
184,Puerto Ayora,EC,2019-11-12 03:29:06,-0.74,-90.35,70.0,87,0,5.99,clear sky,0.0,0.0
185,Aloleng,PH,2019-11-12 03:29:06,16.13,119.78,85.03,69,97,1.1,overcast clouds,0.0,0.0
186,Bonfim,GY,2019-11-12 03:29:06,3.36,-59.84,83.79,61,17,6.29,light rain,0.13,0.0
187,Le Port,FR,2019-11-12 03:29:07,42.87,1.37,45.0,72,79,5.01,light rain,0.56,0.0
188,Kargasok,RU,2019-11-12 03:29:07,59.06,80.87,14.14,92,100,16.58,snow,0.0,2.19
189,Castro,CL,2019-11-12 03:29:07,-42.48,-73.76,50.0,93,10,4.7,clear sky,0.0,0.0
190,Poronaysk,RU,2019-11-12 03:29:07,49.22,143.1,38.71,59,23,17.49,few clouds,0.0,0.0
191,Nenjiang,CN,2019-11-12 03:29:07,49.17,125.23,19.29,56,0,5.84,clear sky,0.0,0.0
